train,val,test
B201421302A2,B201806398C,B201806398C
B201421302B2,B201823532A1,B201823532A1
B201421302B3,B201823532B,B201823532B
B201501448C,B201825721A,B201825721A
B201501448B,B201825721B1,B201825721B1
B201501448D,B201825721B3,B201825721B3
B201501448A1,B201828900A2,B201828900A2
B201501456A1,B201828900G,B201828900G
B201501456A2,B201828900B2,B201828900B2
B201506969C,B201828900B1,B201828900B1
B201506969B1,B201840241D,B201840241D
B201506969A,B201841124A1,B201841124A1
B201507536B2,B201906782A1,B201906782A1
B201507536B1,B201906782A2,B201906782A2
B201507536A,B201906782C,B201906782C
B201507536C,B201906782B,B201906782B
B201509055B,B201907770B1,B201907770B1
B201509055C,B201907770C2,B201907770C2
B201509055A1,B201907770D3,B201907770D3
B201509055A2,B201907770A,B201907770A
B201509635B,B201924593C,B201924593C
B201509635C,B201924593D,B201924593D
B201509635A2,B201927408B1,B201927408B1
B201509987D,B201927408D3,B201927408D3
B201509987A,B201927408D2,B201927408D2
B201509987B,B201930909B,B201930909B
B201514231A2,B201930909A,B201930909A
B201514231A1,B201938716B2,B201938716B2
B201517094D,B201938716C,B201938716C
B201517094A1,B201944706B,B201944706B
B201518371B2,,
B201518371A2,,
B201518371D,,
B201518371A1,,
B201518371B1,,
B201523325D,,
B201523325C,,
B201523325B1,,
B201523325A2,,
B201523325B2,,
B201524130,,
B201526010A1,,
B201526010D2,,
B201528613D,,
B201528613C,,
B201528613A,,
B201528613B,,
B201603879B,,
B201603879D,,
B201603879B2,,
B201603879A2,,
B201603879C2,,
B201605403C1,,
B201605403B1,,
B201605403A1,,
B201605403B2,,
B201605403A2,,
B201605403A3,,
B201605850A,,
B201605850B1,,
B201606721D1,,
B201607053A1,,
B201607053B2,,
B201607053A2,,
B201607053B1,,
B201609285A1,,
B201609285B2,,
B201609285D,,
B201609285B1,,
B201609285C,,
B201609285A2,,
B201612702B,,
B201612702A2,,
B201614308A3,,
B201614308C,,
B201614308A2,,
B201614308D,,
B201614308A1,,
B201614308B,,
B201800021B,,
B201800470C,,
B201800470A,,
B201800470B2,,
B201800470B1,,
B201800580A3,,
B201800580A1,,
B201800630B2,,
B201800630C2,,
B201800630C1,,
B201800630A2,,
B201800630A4,,
B201800630A3,,
B201800765E1,,
B201800765C,,
B201800765B,,
B201800765E2,,
B201800765D,,
B201800765A1,,
B201801034C1,,
B201801034D,,
B201801034A1,,
B201801034A2,,
B201801223A2,,
B201801223C,,
B201801223B,,
B201801223D,,
B201801248C2,,
B201801248A1,,
B201801248B1,,
B201801248C1,,
B201801248A2,,
B201801578A1,,
B201801578B2,,
B201801578B1,,
B201801578A2,,
B201801578C,,
B201801682B,,
B201801682C,,
B201801682A1,,
B201801682A2,,
B201802061C1,,
B201802061C2,,
B201802061B1,,
B201802061D1,,
B201802061A1,,
B201802381A1,,
B201802381C,,
B201802381B,,
B201802381D,,
B201802381A2,,
B201802382A1,,
B201802382D,,
B201802382C,,
B201802382A3,,
B201802382B,,
B201802382A2,,
B201802800C2,,
B201802800D2,,
B201802800B1,,
B201802800A1,,
B201802800D3,,
B201803197B,,
B201803197D,,
B201803197A,,
B201803197C,,
B201803433A2,,
B201803863B1,,
B201803863B2,,
B201803863A,,
B201803895A2,,
B201803895B,,
B201803895A1,,
B201803918A3,,
B201803918A2,,
B201803918B2,,
B201803918B1,,
B201804191A2,,
B201804191D,,
B201804191B,,
B201804191C2,,
B201804191C1,,
B201804191A1,,
B201804612B2_1,,
B201804612C2,,
B201804612B2_2,,
B201804612A2,,
B201804612B1,,
B201805607A2,,
B201805607C2,,
B201805607D,,
B201805607C1,,
B201805795D1,,
B201805795A1,,
B201805795C,,
B201805795D2,,
B201805795A2,,
B201806213B1,,
B201806213B2,,
B201806213A1,,
B201806213A2,,
B201806220C2,,
B201806220A1,,
B201806220B2,,
B201806314B2,,
B201806314C3,,
B201806314A2,,
B201806321B,,
B201806321A2,,
B201806321A1,,
B201806321C2,,
B201806321C1,,
B201806520B,,
B201806520A,,
B201806520C,,
B201806520D,,
B201806693,,
B201806702B1,,
B201806702A2,,
B201806702A1,,
B201806702B2,,
B201806703D,,
B201806703C,,
B201806703B,,
B201806703A,,
B201806733A4,,
B201806733B1,,
B201806733A2,,
B201806733A1,,
B201806733C,,
B201806907A2,,
B201806907A1,,
B201806907C1,,
B201819972A1,,
B201819972A2,,
B201819972A3,,
B201819972B,,
B201819972C1,,
B201820572C2,,
B201820572C,,
B201820572B,,
B201820572A,,
B201822130B,,
B201822130C,,
B201822130A2,,
B201822130A1,,
B201822130D1,,
B201823770A2,,
B201823770B,,
B201823770C,,
B201823770A,,
B201827480A,,
B201827480B2,,
B201827480C1,,
B201827480C2,,
B201827480B1,,
B201827480HE,,
B201828121B2,,
B201828121B1,,
B201828121A,,
B201828121C,,
B201829916B3,,
B201829916B4,,
B201829916C4,,
B201829916C1,,
B201829916D1,,
B201832773B1,,
B201832773B2,,
B201832773C1,,
B201832773A1,,
B201832773A2,,
B201832785,,
B201832785B2,,
B201832785C,,
B201832785A1,,
B201832785B1,,
B201834778B1,,
B201834778A,,
B201834778B2,,
B201834778C,,
B201835090A,,
B201835090B,,
B201835090C,,
B201844793B2,,
B201844793A2,,
B201844793A3,,
B201844793A1,,
B201844793B1,,
B201905035B2,,
B201905035B1,,
B201905035A,,
B201905872A1,,
B201905872B2,,
B201905872B1,,
B201907993A2,,
B201907993C1,,
B201907993A1,,
B201907993B1,,
B201909292B1,,
B201909292B2,,
B201909292A,,
B201909681C2,,
B201909681B,,
B201909681B2,,
B201912177A2,,
B201912271C1,,
B201912271B2,,
B201912271A1,,
B201913755A2,,
B201914532B,,
B201914532A1,,
B201914532C,,
B201919084B2,,
B201919084A1,,
B201919084A2,,
B201919272B2,,
B201919272I,,
B201919272C2,,
B201919385B,,
B201919385A1,,
B201919385A2,,
B201919385C,,
B201919385D,,
B201925391D,,
B201925391C,,
B201928825B2,,
B201928825A,,
B201928825C2,,
B201928825B1,,
B201928825D1,,
B201931817B1,,
B201931817B2,,
B201931817A1,,
B201931817A2,,
B201931995C,,
B201931995D,,
B201931995B,,
B201931995A,,
B201932403B1,,
B201932403Acenter,,
B201932403C2,,
B201932403B2,,
B201932403A,,
B201933337A1,,
B201933337B2,,
B201933337B1,,
B201933337A2,,
B201936411B,,
B201936411B2,,
B201936411A,,
B201936411C,,
B201939700A1,,
B201939700A3,,
B201939700A2,,
B201939700B1,,
B201939700B2,,
B201943357B1,,
B201943357A1,,
B201943357A2,,
B202002395C1,,
F61560,,
F61560A1,,
F61560A2,,
F74103,,
F74103A2,,
